Values of DeltaT = ET - UT
at 0h UT of the date (specified as day, month, year)
from  The Astronomical Almanac 1999, pages K8-9 http://maia.usno.navy.mil/ser7/deltat.data
----------------------------------------------
 1  8 1984  54.1084
 1  9 1984  54.1463
 1 10 1984  54.1914
 1 11 1984  54.2452
 1 12 1984  54.2958
 1  1 1985  54.3427
 1  2 1985  54.3911
 1  3 1985  54.4320
 1  4 1985  54.4898
 1  5 1985  54.5456
 1  6 1985  54.5977
 1  7 1985  54.6355
 1  8 1985  54.6532
 1  9 1985  54.6776
 1 10 1985  54.7174
 1 11 1985  54.7741
 1 12 1985  54.8253
 1  1 1986  54.8713
 1  2 1986  54.9161
 1  3 1986  54.9581
 1  4 1986  54.9997
 1  5 1986  55.0476
 1  6 1986  55.0912
 1  7 1986  55.1132
 1  8 1986  55.1328
 1  9 1986  55.1532
 1 10 1986  55.1898
 1 11 1986  55.2416
 1 12 1986  55.2838
 1  1 1987  55.3222
 1  2 1987  55.3613
 1  3 1987  55.4063
 1  4 1987  55.4629
 1  5 1987  55.5111
 1  6 1987  55.5524
 1  7 1987  55.5812
 1  8 1987  55.6004
 1  9 1987  55.6262
 1 10 1987  55.6656
 1 11 1987  55.7168
 1 12 1987  55.7698
 1  1 1988  55.8197
 1  2 1988  55.8615
 1  3 1988  55.9130
 1  4 1988  55.9663
 1  5 1988  56.0220
 1  6 1988  56.0700
 1  7 1988  56.0939
 1  8 1988  56.1105
 1  9 1988  56.1314
 1 10 1988  56.1611
 1 11 1988  56.2068
 1 12 1988  56.2583
 1  1 1989  56.3000
 1  2 1989  56.3399
 1  3 1989  56.3790
 1  4 1989  56.4283
 1  5 1989  56.4804
 1  6 1989  56.5352
 1  7 1989  56.5697
 1  8 1989  56.5983
 1  9 1989  56.6328
 1 10 1989  56.6739
 1 11 1989  56.7332
 1 12 1989  56.7972
 1  1 1990  56.8553
 1  2 1990  56.9111
 1  3 1990  56.9755
 1  4 1990  57.0471
 1  5 1990  57.1136
 1  6 1990  57.1738
 1  7 1990  57.2226
 1  8 1990  57.2597
 1  9 1990  57.3073
 1 10 1990  57.3643
 1 11 1990  57.4334
 1 12 1990  57.5016
 1  1 1991  57.5653
 1  2 1991  57.6333
 1  3 1991  57.6973
 1  4 1991  57.7711
 1  5 1991  57.8407
 1  6 1991  57.9058
 1  7 1991  57.9576
 1  8 1991  57.9975
 1  9 1991  58.0426
 1 10 1991  58.1043
 1 11 1991  58.1679
 1 12 1991  58.2389
 1  1 1992  58.3092
 1  2 1992  58.3833
 1  3 1992  58.4537
 1  4 1992  58.5401
 1  5 1992  58.6228
 1  6 1992  58.6917
 1  7 1992  58.7410
 1  8 1992  58.7836
 1  9 1992  58.8406
 1 10 1992  58.8986
 1 11 1992  58.9714
 1 12 1992  59.0438
 1  1 1993  59.1218
 1  2 1993  59.2003
 1  3 1993  59.2747
 1  4 1993  59.3574
 1  5 1993  59.4434
 1  6 1993  59.5242
 1  7 1993  59.5850
 1  8 1993  59.6344
 1  9 1993  59.6928
 1 10 1993  59.7588
 1 11 1993  59.8386
 1 12 1993  59.9111
 1  1 1994  59.9845
 1  2 1994  60.0564
 1  3 1994  60.1231
 1  4 1994  60.2042
 1  5 1994  60.2804
 1  6 1994  60.3530
 1  7 1994  60.4012
 1  8 1994  60.4440
 1  9 1994  60.4900
 1 10 1994  60.5578
 1 11 1994  60.6324
 1 12 1994  60.7059
 1  1 1995  60.7853
 1  2 1995  60.8664
 1  3 1995  60.9387
 1  4 1995  61.0277
 1  5 1995  61.1103
 1  6 1995  61.1870
 1  7 1995  61.2454
 1  8 1995  61.2881
 1  9 1995  61.3378
 1 10 1995  61.4036
 1 11 1995  61.4760
 1 12 1995  61.5525
 1  1 1996  61.6287
 1  2 1996  61.6846
 1  3 1996  61.7433
 1  4 1996  61.8132
 1  5 1996  61.8823
 1  6 1996  61.9497
 1  7 1996  61.9969
 1  8 1996  62.0343
 1  9 1996  62.0714
 1 10 1996  62.1202
 1 11 1996  62.1810
 1 12 1996  62.2382
 1  1 1997  62.2950
 1  2 1997  62.3506
 1  3 1997  62.3995
 1  4 1997  62.4754
 1  5 1997  62.5463
 1  6 1997  62.6136
 1  7 1997  62.6571
 1  8 1997  62.6942
 1  9 1997  62.7383
 1 10 1997  62.7926
 1 11 1997  62.8567
 1 12 1997  62.9146
 1  1 1998  62.9659
 1  2 1998  63.0217
 1  3 1998  63.0807
 1  4 1998  63.1462
 1  5 1998  63.2053
 1  6 1998  63.2599
 1  7 1998  63.2844
 1  8 1998  63.2961
 1  9 1998  63.3126
 1 10 1998  63.3422
 1 11 1998  63.3871
 1 12 1998  63.4339
 1  1 1999  63.4673
 1  2 1999  63.4979
 1  3 1999  63.5319
 1  4 1999  63.5679
 1  5 1999  63.6104
 1  6 1999  63.6444
 1  7 1999  63.6642
 1  8 1999  63.6739
 1  9 1999  63.6926
 1 10 1999  63.7147
 1 11 1999  63.7518
 1 12 1999  63.7927
 1  1 2000  63.8285
 1  2 2000  63.8557
 1  3 2000  63.8804
 1  4 2000  63.9075
 1  5 2000  63.9393
 1  6 2000  63.9691
 1  7 2000  63.9799
 1  8 2000  63.9833
 1  9 2000  63.9938
 1 10 2000  64.0093
 1 11 2000  64.0400
 1 12 2000  64.0670
 1  1 2001  64.0908
 1  2 2001  64.1068
 1  3 2001  64.1282
 1  4 2001  64.1584
 1  5 2001  64.1833
 1  6 2001  64.2094
 1  7 2001  64.2117
 1  8 2001  64.2073
 1  9 2001  64.2116
 1 10 2001  64.2223
 1 11 2001  64.2500
 1 12 2001  64.2761
 1  1 2002  64.2998
 1  2 2002  64.3192
 1  3 2002  64.3450
 1  4 2002  64.3735
 1  5 2002  64.3943
 1  6 2002  64.4151
 1  7 2002  64.4132
 1  8 2002  64.4118
 1  9 2002  64.4097
 1 10 2002  64.4168
